mode,feature_set,rmt_mode,split_id,model,roc_auc,pr_auc,f1,accuracy,threshold,blend_weight_dmpnn,n_rmt_features,n_docking_features,n_rdkit2d_features,n_global_before_filter,n_global_after_filter,constant_filter_enabled,epochs_run,train_time_s
rdkit2d,rdkit2d,rmt_rte_sel,split_00,blend,0.9343048256091734,0.9484825359508045,0.8774002954209749,0.8692913385826772,0.29,1.0,0,0,217,217,212,True,34,46.9
rdkit2d,rdkit2d,rmt_rte_sel,split_00,dmpnn,0.9343048256091734,0.9484825359508045,0.8774002954209749,0.8692913385826772,0.29,1.0,0,0,217,217,212,True,34,46.9
rdkit2d,rdkit2d,rmt_rte_sel,split_00,hgb,0.9300346392737698,0.9444351766028005,0.8707692307692307,0.8677165354330708,0.59,1.0,0,0,217,217,212,True,34,46.9
rdkit2d_dock2,rdkit2d_dock2,rmt_rte_sel,split_00,blend,0.9372810160853638,0.9524188539752121,0.880466472303207,0.8708661417322835,0.24,0.9400000000000001,0,2,217,219,214,True,34,44.9
rdkit2d_dock2,rdkit2d_dock2,rmt_rte_sel,split_00,dmpnn,0.934205287466157,0.9505538962765976,0.8744588744588745,0.862992125984252,0.20999999999999996,0.9400000000000001,0,2,217,219,214,True,34,44.9
rdkit2d_dock2,rdkit2d_dock2,rmt_rte_sel,split_00,hgb,0.9348821468386687,0.9483537170464875,0.8751879699248121,0.8692913385826772,0.48999999999999994,0.9400000000000001,0,2,217,219,214,True,34,44.9
rdkit2d_raw_rte,rdkit2d_raw_rte,rmt_rte_sel,split_00,blend,0.936584249084249,0.950442681971479,0.8674351585014409,0.8551181102362204,0.26999999999999996,0.88,390,0,217,607,607,False,34,46.4
rdkit2d_raw_rte,rdkit2d_raw_rte,rmt_rte_sel,split_00,dmpnn,0.9333990285077242,0.945843722963926,0.8615819209039548,0.8456692913385827,0.20999999999999996,0.88,390,0,217,607,607,False,34,46.4
rdkit2d_raw_rte,rdkit2d_raw_rte,rmt_rte_sel,split_00,hgb,0.9227584010192706,0.9393948338460621,0.8636363636363636,0.8582677165354331,0.5299999999999999,0.88,390,0,217,607,607,False,34,46.4
rdkit2d_rmt_sel,rdkit2d_rmt_sel,rmt_rte_sel,split_00,blend,0.9344740404523015,0.9483173780856221,0.867816091954023,0.8551181102362204,0.25999999999999995,0.88,161,0,217,378,345,True,34,46.0
rdkit2d_rmt_sel,rdkit2d_rmt_sel,rmt_rte_sel,split_00,dmpnn,0.9292980570154481,0.9425920200461309,0.8512960436562074,0.8283464566929134,0.14999999999999997,0.88,161,0,217,378,345,True,34,46.0
rdkit2d_rmt_sel,rdkit2d_rmt_sel,rmt_rte_sel,split_00,hgb,0.9240723045070871,0.9402674922883947,0.8575757575757575,0.8519685039370078,0.5099999999999999,0.88,161,0,217,378,345,True,34,46.0
rdkit2d_rmt_rec,rdkit2d_rmt_rec,rmt_rte_rec,split_00,blend,0.9414516642777513,0.9543304805717412,0.8714918759231906,0.862992125984252,0.4099999999999999,0.8,161,0,217,378,348,True,35,47.3
rdkit2d_rmt_rec,rdkit2d_rmt_rec,rmt_rte_rec,split_00,dmpnn,0.9362657270265966,0.9468931844312628,0.8658892128279884,0.8551181102362204,0.3499999999999999,0.8,161,0,217,378,348,True,35,47.3
rdkit2d_rmt_rec,rdkit2d_rmt_rec,rmt_rte_rec,split_00,hgb,0.920309762701067,0.936506774198512,0.8496124031007752,0.8472440944881889,0.5599999999999999,0.8,161,0,217,378,348,True,35,47.3
rdkit2d_rmt_sel_sum,rdkit2d_rmt_sel_sum,rmt_rte_sel,split_00,blend,0.9318661411052716,0.9478557664034063,0.8668555240793201,0.8519685039370078,0.15999999999999998,1.0,1,0,217,218,213,True,34,45.7
rdkit2d_rmt_sel_sum,rdkit2d_rmt_sel_sum,rmt_rte_sel,split_00,dmpnn,0.9318661411052716,0.9478557664034063,0.8668555240793201,0.8519685039370078,0.15999999999999998,1.0,1,0,217,218,213,True,34,45.7
rdkit2d_rmt_sel_sum,rdkit2d_rmt_sel_sum,rmt_rte_sel,split_00,hgb,0.9276855390985825,0.9451707343284736,0.8689024390243902,0.8645669291338582,0.5399999999999999,1.0,1,0,217,218,213,True,34,45.7
rdkit2d_rmt_rec_sum,rdkit2d_rmt_rec_sum,rmt_rte_rec,split_00,blend,0.9407150820194299,0.9538994642293811,0.8709219858156029,0.8566929133858268,0.26999999999999996,1.0,1,0,217,218,213,True,35,46.5
rdkit2d_rmt_rec_sum,rdkit2d_rmt_rec_sum,rmt_rte_rec,split_00,dmpnn,0.9407150820194299,0.9538994642293811,0.8709219858156029,0.8566929133858268,0.26999999999999996,1.0,1,0,217,218,213,True,35,46.5
rdkit2d_rmt_rec_sum,rdkit2d_rmt_rec_sum,rmt_rte_rec,split_00,hgb,0.9239628125497691,0.9408538947703512,0.8736998514115899,0.8661417322834646,0.43999999999999995,1.0,1,0,217,218,213,True,35,46.5
