ligand_id,SMILES,prob,Ames,Reproductive,Daphnia_LC50_mmol_L,Fathead_LC50_mmol_L,Mouse_oral_LD50_mgkg,Rat_oral_LD50_mgkg_approx,Carcinogenicity,Hepatotoxicity,DILI,Cardiotoxicity,Acute_Aquatic_class,_Ames_prob,_Reproductive_prob,_Carcinogenicity_prob,_DILI_prob,_Cardiotoxicity_prob,_Daphnia_pLC50,_Fathead_pLC50,_LD50_neglog_molkg,_min_aquatic_LC50_mgL,_MW
8573,c1ccccc1Oc1cc(C(OC(C2C(C)(C)C2C=C(Cl)Cl)=O)C#N)ccc1F,0.9973,Nontoxic,Toxic,0.0,0.0,328.79,328.79,Toxic,Toxic,Toxic,Toxic,Class 1,0.122,0.9125,0.6046,0.5158,0.6786,8.8185,8.5654,3.1209,0.0007,434.29
946,FC(F)(F)CS(=O)c1cc(OCCCCCSC(F)(F)F)c(F)cc1Cl,0.9966,Nontoxic,Toxic,0.00081,0.00188,680.28,680.28,Toxic,Toxic,Toxic,Toxic,Class 1,0.1504,0.8963,0.539,0.6499,0.7734,6.093,5.7256,2.8175,0.3607,446.84
636,FC(F)(F)S(=O)c1c(C#N)nn(-c2c(Cl)cc(cc2Cl)C(F)(F)F)c1NCC(=C)C,0.9965,Nontoxic,Toxic,0.00022,0.00065,312.05,312.05,Nontoxic,Toxic,Toxic,Toxic,Class 1,0.1335,0.8953,0.4839,0.9248,0.8505,6.6548,6.1847,3.1971,0.1088,491.24
1164,FC(F)(F)CN1C(SCC1=O)=Nc1c(F)cc(C)c(S(=O)CC(F)(F)F)c1,0.9957,Toxic,Toxic,0.00324,0.01091,623.57,623.57,Nontoxic,Toxic,Toxic,Toxic,Class 2,0.5205,0.9182,0.3899,0.7848,0.6914,5.4893,4.9623,2.845,1.4142,436.37
8575,c1cc(ccc1)Oc1cc(ccc1)C(C#N)OC(=O)C1C(C=C(Br)Br)C1(C)C,0.9946,Nontoxic,Toxic,0.0,1e-05,46.05,46.05,Nontoxic,Nontoxic,Nontoxic,Toxic,Class 1,0.0392,0.9776,0.4482,0.4056,0.7171,9.8293,8.1811,4.0403,0.0001,505.21
8555,FC(F)(F)OC(F)C(F)(F)Oc1c(cc(NC(=O)NC(=O)c2c(cccc2F)F)cc1)Cl,0.9946,Nontoxic,Toxic,7e-05,0.0053,959.81,959.81,Toxic,Toxic,Toxic,Toxic,Class 1,0.2387,0.8712,0.5669,0.8378,0.7253,7.1391,5.2761,2.7104,0.0358,492.71
2284,COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl,0.9941,Nontoxic,Toxic,1e-05,0.00135,1127.4,1127.4,Nontoxic,Toxic,Toxic,Nontoxic,Class 1,0.0531,0.9019,0.2859,0.7906,0.2322,7.871,5.871,2.4565,0.0043,322.54
8513,O(C1C(C(OC(C1)OC1C(=CCC2OC3(CC(OC(C4C=C(C)C(O)C5OCC(=CC=CC1C)C45O)=O)C2)C=CC(C(O3)C(C)CC)C)C)C)OC1OC(C)C(C(OC)C1)O)C,0.9938,Nontoxic,Toxic,0.00102,0.00186,267.5,267.5,Nontoxic,Nontoxic,Nontoxic,Toxic,Class 1,0.0953,0.9646,0.0135,0.318,0.6289,5.9922,5.7307,3.5137,0.8889,873.09
7464,O1C(OC(=O)C2(C3CCC45CC(OC6C(OC7OC(CO)C(O)C(O)C7O)C(OC7C(C(C(C(O7)CO)O)O)O)C(C(CO)O6)O)(C(=C)C4)CCC5C3(CCC2)C)C)C(C(C(O)C1CO)O)O,0.9935,Nontoxic,Toxic,0.00494,0.03273,472.71,472.71,Nontoxic,Nontoxic,Nontoxic,Toxic,Class 2,0.081,0.9383,0.0041,0.3574,0.569,5.3066,4.485,3.3108,4.7735,967.02
1191,FC(F)(F)S(=O)c1cc2c(oc(n2)-c2ncc(cc2S(=O)(=O)CC)C2CC2)cc1,0.9934,Nontoxic,Toxic,0.0016,0.00168,897.24,897.24,Nontoxic,Toxic,Toxic,Toxic,Class 1,0.3821,0.9554,0.1809,0.8631,0.8469,5.7956,5.7743,2.6949,0.7116,444.46
