name,SMILES,Ames,Reproductive,Daphnia_LC50_mmol_L,Fathead_LC50_mmol_L,Mouse_oral_LD50_mgkg,Rat_oral_LD50_mgkg_approx,Carcinogenicity,Hepatotoxicity,DILI,Cardiotoxicity,Acute_Aquatic_class,_Ames_prob,_Reproductive_prob,_Carcinogenicity_prob,_DILI_prob,_Cardiotoxicity_prob,_Daphnia_pLC50,_Fathead_pLC50,_LD50_neglog_molkg,_min_aquatic_LC50_mgL,_MW
Amitraz,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,Nontoxic,Toxic,0.00585,0.00457,595.58,595.58,Nontoxic,Toxic,Toxic,Toxic,Class 2,0.4129,0.9851,0.3075,0.7054,0.5877,5.2326,5.3399,2.6925,1.3414,293.41
Tetraniliprole,CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)CN4N=C(N=N4)C(F)(F)F)C(=O)NC)C#N,Nontoxic,Toxic,0.00177,0.00469,193.62,193.62,Toxic,Toxic,Toxic,Toxic,Class 1,0.1345,0.8905,0.5726,0.9684,0.7002,5.7523,5.3288,3.4493,0.9638,544.88
Chlorantraniliprole,CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)Cl,Nontoxic,Toxic,0.00419,0.00347,999.48,999.48,Nontoxic,Toxic,Toxic,Toxic,Class 2,0.2395,0.8604,0.4219,0.9609,0.7151,5.378,5.4597,2.6843,1.6765,483.15
Flubendiamide,CC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)NC(=O)C2=C(C(=CC=C2)I)C(=O)NC(C)(C)CS(=O)(=O)C,Nontoxic,Toxic,0.00043,0.00093,482.79,482.79,Toxic,Toxic,Toxic,Toxic,Class 1,0.2302,0.9241,0.5614,0.8738,0.6442,6.3711,6.0321,3.1503,0.2904,682.4
Endosulfan,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Nontoxic,Toxic,0.00134,1e-05,38.7,38.7,Nontoxic,Nontoxic,Nontoxic,Nontoxic,Class 1,0.0536,0.8371,0.2508,0.3033,0.2878,5.8736,8.2659,4.0218,0.0022,406.93
Aldicarb,CC(C)(C=NOC(=O)NC)SC,Nontoxic,Toxic,0.00301,0.00861,2.96,2.96,Nontoxic,Nontoxic,Nontoxic,Nontoxic,Class 1,0.0674,0.9266,0.3398,0.1844,0.0264,5.5211,5.0652,4.8076,0.5732,190.27
Carbosulfan,CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C,Nontoxic,Toxic,0.00146,0.00095,52.6,52.6,Nontoxic,Nontoxic,Nontoxic,Toxic,Class 1,0.1714,0.976,0.203,0.4576,0.9078,5.8357,6.0235,3.8594,0.3605,380.55
Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,Nontoxic,Toxic,2e-05,0.02664,406.29,406.29,Nontoxic,Nontoxic,Nontoxic,Nontoxic,Class 1,0.0237,0.8555,0.2166,0.348,0.2189,7.6061,4.5744,2.9102,0.0082,330.36
Parathion,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],Nontoxic,Toxic,0.0,0.00544,4.67,4.67,Toxic,Toxic,Toxic,Nontoxic,Class 1,0.2252,0.9745,0.5523,0.9157,0.1563,8.3801,5.2643,4.7947,0.0012,291.27
Propiconazole,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,Nontoxic,Toxic,0.01578,0.00325,1258.75,1258.75,Nontoxic,Toxic,Toxic,Toxic,Class 2,0.2131,0.9778,0.355,0.8358,0.7527,4.802,5.4876,2.4344,1.1136,342.23
